dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples
gen_dataset_54-out-0.01-np-0-nc-0-mv-0_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,1,1,No,0.1407372951507568,24.822644472122192,5.308598518371582,5.057479619979858,-2,1.0,1.0,0.9999755004042432,-2,0.230334343934192,-2,-2,-2,0.9167922689262104,0.9259123498738762,0.6547190304693306,-2,1.103076874069156,-2,-2,9476,9476,Gen-and-Run-Pipeline,0
gen_dataset_54-out-0.02-np-0-nc-0-mv-0_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,1,2,No,0.1339695453643798,22.360388040542603,65.44102668762207,47.38473320007324,-2,1.0,1.0,1.0,-2,0.2336454317259544,-2,-2,-2,0.9135835010103498,0.9229769740920032,0.6474589835934373,-2,1.110089968724597,-2,-2,9466,18928,Gen-and-Run-Pipeline,0
gen_dataset_54-out-0.02-np-0-nc-0-mv-0_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,2,1,No,0.1339695453643798,34.81717038154602,5.74328875541687,5.52385950088501,-2,1.0,1.0,1.0,-2,0.2325190426166683,-2,-2,-2,0.9151854673867688,0.9243241572202796,0.6516320814039902,-2,1.1120894002503552,-2,-2,9466,9466,Gen-and-Run-Pipeline,0
gen_dataset_54-out-0.03-np-0-nc-0-mv-0_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,1,2,No,0.1382873058319091,51.24364757537842,652.5877568721771,611.3018939495087,-2,1.0,1.0,0.9999755004042432,-2,0.2348953561020912,-2,-2,-2,0.9118665883822776,0.92166673949428,0.645629680443606,-2,1.1298543147720497,-2,-2,9467,20096,Gen-and-Run-Pipeline,0
gen_dataset_54-out-0.03-np-0-nc-0-mv-0_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,2,4,No,0.1382873058319091,31.595439910888672,70.01957607269287,4.944693088531494,-2,1.0,1.0,1.0,-2,0.23485087453326,-2,-2,-2,0.9128978074467604,0.9227104718803244,0.6470016578059795,-2,1.1134251748248236,-2,-2,9467,38551,Gen-and-Run-Pipeline,0
gen_dataset_54-out-0.04-np-0-nc-0-mv-0_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,1,3,No,0.1343541145324707,27.762568712234497,594.6325232982635,555.1346635818481,-2,1.0,1.0,1.0,-2,0.2368516029471385,-2,-2,-2,0.911944925862096,0.91668045461577,0.6403132681644086,-2,1.1435077557683655,-2,-2,9456,28449,Gen-and-Run-Pipeline,0
gen_dataset_54-out-0.04-np-0-nc-0-mv-0_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,2,1,No,0.1343541145324707,23.3271746635437,45.94312453269959,45.72137427330017,-2,1.0,1.0,1.0,-2,0.2368516029471385,-2,-2,-2,0.8984249326587894,0.909032148529412,0.6180758017492711,-2,1.2109489071140669,-2,-2,9456,9456,Gen-and-Run-Pipeline,0
gen_dataset_54-out-0.05-np-0-nc-0-mv-0_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,1,8,No,0.1387355327606201,42.84361433982849,738.3222992420197,518.2766706943512,-2,1.0,1.0,0.9999755004042432,-2,0.2386998270998951,-2,-2,-2,0.907798104634136,0.91831379784163,0.6368261590350426,-2,1.1435230838279848,-2,-2,9447,55720,Gen-and-Run-Pipeline,0
gen_dataset_54-out-0.05-np-0-nc-0-mv-0_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,2,4,No,0.1387355327606201,51.08162808418274,175.17123556137085,37.80637645721436,-2,1.0,1.0,1.0,-2,0.2404814699883468,-2,-2,-2,0.9067238240396356,0.917118816025274,0.6363116675241525,-2,1.1498822010581466,-2,-2,9447,33396,Gen-and-Run-Pipeline,0
gen_dataset_54-out-0.06-np-0-nc-0-mv-0_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,1,5,No,0.1407651901245117,35.502779483795166,138.63738465309143,49.23842525482178,-2,1.0,1.0,1.0,-2,0.2408484061385616,-2,-2,-2,0.906463373397552,0.9171254471413152,0.6329960555650832,-2,1.1468364092042411,-2,-2,9456,39813,Gen-and-Run-Pipeline,0
gen_dataset_54-out-0.06-np-0-nc-0-mv-0_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,2,2,No,0.1407651901245117,30.1421422958374,30.32935571670532,4.667994976043701,-2,1.0,1.0,1.0,-2,0.2404542689457561,-2,-2,-2,0.9053083082008452,0.9160430637716818,0.633967872863431,-2,1.1592370876840372,-2,-2,9456,19220,Gen-and-Run-Pipeline,0
