dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples
oml_dataset_1_rnc,H2O,,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,17,26.41114592552185,-2.0,0.9718516064282192,0.9812125944272548,-2.0,-2.0,,-2.0,0.2766299503075362,-2.0,0.9411548353909464,0.9549646710536068,-2.0,-2.0,,-2.0,0.3120930879565452,0,0,Run-AutoML,0
oml_dataset_1_rnc,Flaml,,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,17,17.04142928123474,-2.0,0.971968052109181,0.9812901694554976,0.8901601830663616,-2.0,0.2506825107299201,-2.0,-2.0,-2.0,0.9412808641975308,0.9551137584663496,0.8457446808510638,-2.0,0.2841800677244886,-2.0,-2.0,0,0,Run-AutoML,0
oml_dataset_1_rnc,Autogluon,,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,17,20.087857961654663,-2.0,0.9988455951157564,0.9991588623276249,0.9839816933638444,-2.0,-2.0,-2.0,-2.0,-2.0,0.9902906378600824,0.991112000355698,0.9148936170212766,-2.0,-2.0,-2.0,-2.0,0,0,Run-AutoML,0
oml_dataset_1_rnc,H2O,,llama3-70b-8192,,multiclass,True,1,0,No,0,0,3,11.415858030319214,-2.0,0.8931137000693452,0.909191896854002,-2.0,-2.0,,-2.0,0.3997987032183301,-2.0,0.7903086419753086,0.8212761261912173,-2.0,-2.0,,-2.0,0.4449998751290941,0,0,Run-AutoML,0
oml_dataset_1_rnc,Flaml,,llama3-70b-8192,,multiclass,True,1,0,No,0,0,3,3.0292751789093018,-2.0,0.9927066101461264,0.9932486299283616,0.9588100686498856,-2.0,0.171188414805447,-2.0,-2.0,-2.0,0.9297170781893004,0.9388737902568436,0.8617021276595744,-2.0,0.3554857151818099,-2.0,-2.0,0,0,Run-AutoML,0
oml_dataset_1_rnc,Autogluon,,llama3-70b-8192,,multiclass,True,1,0,No,0,0,3,6.528333425521851,-2.0,0.991397640591189,0.9935868373834178,0.9473684210526316,-2.0,-2.0,-2.0,-2.0,-2.0,0.9833847736625516,0.9845627139744788,0.9042553191489362,-2.0,-2.0,-2.0,-2.0,0,0,Run-AutoML,0
oml_dataset_1_rnc,H2O,,gpt-4o,,multiclass,True,1,0,No,0,0,14,23.47040700912476,-2.0,0.8042253072495008,0.8281016178443666,-2.0,-2.0,,-2.0,0.5250634562508306,-2.0,0.7652006172839506,0.7962121885791354,-2.0,-2.0,,-2.0,0.5454734487467467,0,0,Run-AutoML,0
oml_dataset_1_rnc,Flaml,,gpt-4o,,multiclass,True,1,0,No,0,0,14,14.05240559577942,-2.0,0.9720113928783284,0.9813253433124086,0.8901601830663616,-2.0,0.25067907622384,-2.0,-2.0,-2.0,0.9412808641975308,0.9551137584663496,0.8457446808510638,-2.0,0.2841873746533638,-2.0,-2.0,0,0,Run-AutoML,0
oml_dataset_1_rnc,Autogluon,,gpt-4o,,multiclass,True,1,0,No,0,0,14,16.946903228759766,-2.0,0.9988455951157564,0.9991588623276249,0.9839816933638444,-2.0,-2.0,-2.0,-2.0,-2.0,0.9902906378600824,0.991112000355698,0.9148936170212766,-2.0,-2.0,-2.0,-2.0,0,0,Run-AutoML,0
oml_dataset_2_rnc,H2O,,gemini-1.5-pro-latest,,binary,True,1,0,No,0,0,1,8.983636856079102,0.9486407589855864,-2.0,-2.0,-2.0,-2.0,,-2.0,0.3995006407268479,0.9151967435549526,-2.0,-2.0,-2.0,-2.0,,-2.0,0.4108904155768574,0,0,Run-AutoML,0
oml_dataset_2_rnc,Flaml,,gemini-1.5-pro-latest,,binary,True,1,0,No,0,0,1,1.0139625072479248,0.995648604269294,-2.0,-2.0,0.9775051124744376,0.9775744451589358,-2.0,-2.0,-2.0,0.9921720070973802,-2.0,-2.0,0.9714285714285714,0.9715380518404544,-2.0,-2.0,-2.0,0,0,Run-AutoML,0
