dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples
oml_dataset_20_rnc,AutoSklearn,Learn2Clean,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,58,71.74284744262695,-2,0.5,0.5,0.0180703397768883,-2,3.0910424533583143,-2,-2.0,-2,0.5,0.5,0.0215178571428571,-2,3.0910424533583147,-2,-2.0,0,0,Run-AutoML,0
oml_dataset_20_rnc,H2O,Learn2Clean,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,58,76.56803750991821,-2,0.948800890546308,0.959782978641919,-2.0,-2,,-2,0.7311796499368483,-2,0.5169457517186387,0.4957264907458812,-2.0,-2,,-2,0.9189512924535964,0,0,Run-AutoML,0
oml_dataset_20_rnc,Flaml,Learn2Clean,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,58,68.04550218582153,-2,0.9959144633783682,0.9958562345581486,0.8764881205824747,-2,0.4436331358086738,-2,-2.0,-2,0.5474410253418346,0.5608009880920378,0.1382142857142857,-2,8.760928721113698,-2,-2.0,0,0,Run-AutoML,0
oml_dataset_20_rnc,Autogluon,Learn2Clean,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,58,64.76113748550415,-2,0.9976515628880184,0.998017243471892,0.9320361066167078,-2,-2.0,-2,-2.0,-2,0.5477633552889652,0.5407082078936611,0.1468080357142857,-2,-2.0,-2,-2.0,0,0,Run-AutoML,0
oml_dataset_20_rnc,AutoSklearn,Learn2Clean,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,58,80.54448246955872,-2,0.5,0.5,0.0180703397768883,-2,3.0910424533583143,-2,-2.0,-2,0.5,0.5,0.0215178571428571,-2,3.0910424533583147,-2,-2.0,0,0,Run-AutoML,0
oml_dataset_20_rnc,H2O,Learn2Clean,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,58,71.4295437335968,-2,0.9447011604717868,0.9565878094874112,-2.0,-2,,-2,0.7375730523030303,-2,0.500444206661396,0.5341557276200167,-2.0,-2,,-2,0.922186288542792,0,0,Run-AutoML,0
oml_dataset_20_rnc,Flaml,Learn2Clean,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,58,62.5717089176178,-2,0.9810578221138684,0.9850270368529488,0.7596866218172529,-2,0.7099948193078951,-2,-2.0,-2,0.5207113217300438,0.5640093575132921,0.1368303571428571,-2,9.632979739893134,-2,-2.0,0,0,Run-AutoML,0
oml_dataset_20_rnc,Autogluon,Learn2Clean,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,58,61.77943396568298,-2,0.9992128757910076,0.9993799835244664,0.9854551647790172,-2,-2.0,-2,-2.0,-2,0.6023625246507871,0.5975302163809785,0.1454017857142857,-2,-2.0,-2,-2.0,0,0,Run-AutoML,0
oml_dataset_20_rnc,AutoSklearn,Learn2Clean,llama-3.1-70b-versatile,,multiclass,True,1,0,No,0,0,157,293.4397418498993,-2,0.9936174163245792,0.993190589850347,0.829770927360981,-2,2.160277368907945,-2,-2.0,-2,0.5781306680989323,0.5781112021660629,0.1416517857142857,-2,2.896640183893445,-2,-2.0,0,0,Run-AutoML,0
oml_dataset_20_rnc,H2O,Learn2Clean,llama-3.1-70b-versatile,,multiclass,True,1,0,No,0,0,157,170.19374322891235,-2,0.969041856328594,0.9761434862052564,-2.0,-2,,-2,0.6117265491664594,-2,0.513101901395276,0.5021894991190986,-2.0,-2,,-2,0.9218458252930444,0,0,Run-AutoML,0
