dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples
Etailing,H2O,Learn2Clean,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,1884,914.8317589759828,-2.0,0.9969115209398872,0.9975511383619494,-2.0,-2.0,,-2,0.3382250277027545,-2.0,0.5996619367045064,0.6095320183977819,-2.0,-2.0,,-2,0.7335322944358661,0,0,Run-AutoML,0
Etailing,Flaml,Learn2Clean,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,1884,1893.755126953125,-2.0,0.993452893778423,0.9944741492105869,0.7780678851174935,-2.0,0.990541893159567,-2,-2.0,-2.0,0.663307777204449,0.655431101049951,0.4166666666666667,-2.0,1.5287578307093446,-2,-2.0,0,0,Run-AutoML,0
Etailing,Autogluon,Learn2Clean,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,1884,1885.123708486557,-2.0,0.9859068798775268,0.9877929983029348,0.91644908616188,-2.0,-2.0,-2,-2.0,-2.0,0.708900097465887,0.7065426101526947,0.4621212121212121,-2.0,-2.0,-2,-2.0,0,0,Run-AutoML,0
Midwest-Survey,H2O,Learn2Clean,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,1823,1564.0718669891355,-2.0,0.9999800549377428,0.999976006166824,-2.0,-2.0,,-2,0.0849178700990335,-2.0,0.4997827145042415,0.500185533365288,-2.0,-2.0,,-2,0.9475459525775384,0,0,Run-AutoML,0
Midwest-Survey,Flaml,Learn2Clean,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,1823,1880.4378700256348,-2.0,0.999606581384194,0.9996404359077612,0.9794319294809012,-2.0,0.0844054652621982,-2,-2.0,-2.0,0.499443749130858,0.4986960473751188,0.0907877169559412,-2.0,4.726561585175913,-2,-2.0,0,0,Run-AutoML,0
Midwest-Survey,Autogluon,Learn2Clean,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,1823,1824.6663675308228,-2.0,0.9985622330558116,0.9985424152409884,0.9720861900097943,-2.0,-2.0,-2,-2.0,-2.0,0.501112501738284,0.5015237702135921,0.0907877169559412,-2.0,-2.0,-2,-2.0,0,0,Run-AutoML,0
WiFi,H2O,Learn2Clean,gemini-1.5-pro-latest,,binary,True,1,0,No,0,0,1914,1504.2839126586914,0.6756038647342996,-2.0,-2.0,-2.0,-2.0,,-2,0.4750826664099942,0.6764705882352942,-2.0,-2.0,-2.0,-2.0,,-2,0.6806422978951675,0,0,Run-AutoML,0
WiFi,Flaml,Learn2Clean,gemini-1.5-pro-latest,,binary,True,1,0,No,0,0,1914,1916.4531252384184,0.7243961352657005,-2.0,-2.0,0.6593406593406593,0.6576053418988531,-2.0,-2,-2.0,0.5,-2.0,-2.0,0.5666666666666667,0.4099290780141844,-2.0,-2,-2.0,0,0,Run-AutoML,0
WiFi,Autogluon,Learn2Clean,gemini-1.5-pro-latest,,binary,True,1,0,No,0,0,1914,1914.4469783306122,0.7243961352657005,-2.0,-2.0,0.6593406593406593,0.6593406593406593,-2.0,-2,-2.0,0.5,-2.0,-2.0,0.43333333333333335,0.0,-2.0,-2,-2.0,0,0,Run-AutoML,0
Etailing,H2O,SAGA,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,1884,918.7797241210938,-2.0,0.7943089601700093,0.8084387477358218,-2.0,-2.0,,-2.0,0.6817493062825399,-2.0,0.5585394736842105,0.5622509366451769,-2.0,-2.0,,-2.0,0.7629866219353253,0,0,Run-AutoML,0
Etailing,Flaml,SAGA,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,1884,1884.3872916698456,-2.0,1.0,1.0,1.0,-2.0,0.1178063893605296,-2.0,-2.0,-2.0,0.6368608961128313,0.648029285269286,0.4015151515151515,-2.0,1.6151218563556606,-2.0,-2.0,0,0,Run-AutoML,0
Etailing,Autogluon,SAGA,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,1884,37.12020802497864,-2.0,0.9868877854247872,0.988403174321431,0.918848167539267,-2.0,-2.0,-2.0,-2.0,-2.0,0.642150054466231,0.6550581844564218,0.4393939393939394,-2.0,-2.0,-2.0,-2.0,0,0,Run-AutoML,0
Midwest-Survey,H2O,SAGA,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,1823,1835.437489032745,-2.0,0.9741997577640296,0.9824319218642455,-2.0,-2.0,,-2.0,0.4568596722683737,-2.0,0.7908883709624549,0.8233714538281366,-2.0,-2.0,,-2.0,0.6645137772652375,0,0,Run-AutoML,0
Midwest-Survey,Flaml,SAGA,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,1823,1828.8022100925448,-2.0,0.9753254002948608,0.981093273723712,0.8351548269581056,-2.0,0.5711697742207469,-2.0,-2.0,-2.0,0.874806297760379,0.894308112988375,0.5981308411214953,-2.0,1.1711515044609684,-2.0,-2.0,0,0,Run-AutoML,0
Midwest-Survey,Autogluon,SAGA,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,1823,314.9752850532532,-2.0,0.9859503962295092,0.9891283977170464,0.9316939890710384,-2.0,-2.0,-2.0,-2.0,-2.0,0.8722034181055215,0.8962064844801603,0.5941255006675568,-2.0,-2.0,-2.0,-2.0,0,0,Run-AutoML,0
WiFi,H2O,SAGA,gemini-1.5-pro-latest,,binary,True,1,0,No,0,0,1914,1487.5816433429718,1.0,-2.0,-2.0,-2.0,-2.0,,-2.0,0.0808841895198389,0.6380090497737557,-2.0,-2.0,-2.0,-2.0,,-2.0,0.563946554939177,0,0,Run-AutoML,0
WiFi,Flaml,SAGA,gemini-1.5-pro-latest,,binary,True,1,0,No,0,0,1914,1913.9732451438904,0.9866666666666668,-2.0,-2.0,0.9384615384615383,0.9384615384615383,-2.0,-2.0,-2.0,0.5837104072398189,-2.0,-2.0,0.5333333333333333,0.440530303030303,-2.0,-2.0,-2.0,0,0,Run-AutoML,0
WiFi,Autogluon,SAGA,gemini-1.5-pro-latest,,binary,True,1,0,No,0,0,1914,9.601376056671144,0.9795238095238096,-2.0,-2.0,0.953846153846154,0.9565217391304348,-2.0,-2.0,-2.0,0.6583710407239819,-2.0,-2.0,0.5666666666666667,0.6976744186046512,-2.0,-2.0,-2.0,0,0,Run-AutoML,0
Utility,H2O,SAGA,gemini-1.5-pro-latest,,regression,True,1,0,No,0,0,1822,1838.3879969120023,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-0.1123142853295127,108.89863635650944,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-0.039486858585344,86.0265932019619,0,0,Run-AutoML,0
Utility,Flaml,SAGA,gemini-1.5-pro-latest,,regression,True,1,0,No,0,0,1822,1890.3685450553887,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.9964924413931592,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.3597842051097407,-2.0,0,0,Run-AutoML,0
Utility,Autogluon,SAGA,gemini-1.5-pro-latest,,regression,True,1,0,No,0,0,1822,301.82253646850586,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.9245449948238516,28.3630356401048,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.3768940187923111,66.60459362119549,0,0,Run-AutoML,0
