dataset,col_index,data_type,missing_values_count,total_values_count,distinct_values_count,number_rows
pc1,1,int,0,1109,113,1109
pc1,2,float,0,1109,48,1109
pc1,3,float,0,1109,232,1109
pc1,4,float,0,1109,756,1109
pc1,5,float,0,1109,46,1109
pc1,6,float,0,1109,823,1109
pc1,7,float,0,1109,886,1109
pc1,8,float,0,1109,203,1109
pc1,9,float,0,1109,111,1109
pc1,10,float,0,1109,613,1109
pc1,11,float,0,1109,45,1109
pc1,12,float,0,1109,27,1109
pc1,13,float,0,1109,31,1109
pc1,14,float,0,1109,126,1109
pc1,15,float,0,1109,312,1109
pc1,16,float,0,1109,106,1109
pc1,17,bool,0,1109,2,1109
pc1,18,int,0,1109,24,1109
pc1,19,int,0,1109,53,1109
pc1,20,int,0,1109,52,1109
pc1,21,float,0,1109,890,1109
pc1,22,float,0,1109,62,1109
